steamid,publisherclass,copiessold
730,AAA,469306440
578080,AAA,104407421
1172470,AAA,40718246
570,AAA,192537998
1085660,AAA,21961736
271590,AAA,35118817
1086940,AAA,14115030
1091500,AAA,13576112
306130,AAA,5077125
230410,AAA,27571151
359550,AAA,19927627
1938090,AAA,18673561
1245620,AA,10665346
381210,AA,11694878
1599340,AAA,14802717
252490,AA,18128445
236390,AA,20879579
292030,AAA,20077978
1174180,AAA,11921536
281990,AAA,4255752
990080,AAA,5053855
440,AAA,88484727
550,AAA,37819214
1203220,AA,8226731
346110,AA,16946313
227300,AA,16947196
275850,AA,5829242
364360,AA,1702899
289070,AAA,11503936
582010,AAA,7548542
594570,AA,2445236
1172620,AAA,8462176
221100,AA,7477117
239140,AA,11930150
255710,AAA,10587346
814380,AA,5273406
377160,AAA,8137032
1326470,AA,6807922
238960,AA,13048475
311210,AAA,4678739
976730,AAA,5998386
489830,AAA,10655284
386360,AA,9404879
435150,AAA,6034385
107410,AA,6934937
242760,AA,19917827
739630,AA,14190990
1551360,AAA,3728898
413150,AA,16027738
374320,AA,5998384
236850,AAA,2330571
1293830,AAA,5394907
1063730,AAA,5822298
648800,AA,11443160
892970,AA,10652759
1449850,AA,5158540
552990,AA,8572291
552520,AAA,5463727
444200,AA,7216639
4000,AAA,26715785
105600,AA,27159100
261550,AA,3593224
1144200,AA,4692474
394360,AAA,5187199
270880,AA,4143446
294100,AA,3701410
108600,AA,11305189
782330,AAA,3864479
1426210,AAA,6174816
393380,AA,4481016
1158310,AAA,2296068
534380,AA,3445651
548430,AA,8490191
620,AAA,18887732
1811260,AAA,4138755
1716740,AAA,1728271
218620,AA,17434286
284160,AA,5846581
1172380,AAA,3776472
427520,AA,3892838
304390,AAA,5208393
1774580,AAA,1763452
812140,AAA,4110101
1145360,AA,6359740
1151340,AAA,1884106
518790,AA,5898834
202970,AAA,1651320
322330,AA,16587839
49520,AAA,10331013
526870,AA,4453622
250900,AA,6293115
397540,AAA,4914462
1151640,AA,2867225
8930,AAA,7156303
2050650,AAA,2086809
391220,AA,5403947
632360,AA,5836331
594650,AA,4627384
1966720,AA,9868491
440900,AA,2437554
240,AAA,10379587
291550,AAA,26157842
1517290,AAA,3598890
264710,AA,6341237
1142710,AA,2037398
251570,AA,8763039
703080,AA,2821709
379430,AA,3087357
1238810,AAA,9130172
460930,AAA,3248974
546560,AAA,1903822
620980,AA,2165579
1222670,AAA,9031377
524220,AA,2731708
9900,AA,1507929
1286830,AAA,3313682
379720,AAA,4954174
2195250,AAA,1801866
601150,AAA,3242442
1222680,AAA,4731515
477160,AA,13990277
356190,AA,3758468
453480,AA,1720810
779340,AA,1915763
1817070,AA,1830418
588650,AA,4610699
365590,AAA,2673716
1593500,AA,2328933
1446780,AAA,2725324
287700,AA,2739219
242050,Indie,2124513
244210,AA,5514092
268910,AA,4783351
268500,AAA,2908212
447040,AAA,3373721
813780,AAA,4313639
671860,AA,4869284
883710,AAA,3171659
244850,AA,4240695
601510,AA,4138087
582160,AAA,2998171
1364780,AAA,1024696
225540,AA,5800371
261640,AAA,3458899
312660,AA,4124260
962130,AAA,2229886
1282100,AA,1433476
493340,AA,2904262
632470,AA,3056218
457140,AA,4462483
24010,AA,788160
219990,AA,3242632
367520,AA,7899548
1248130,AA,1890868
552500,AA,3637597
223750,Indie,3442889
361420,AA,3554864
438100,AA,14949209
1361210,AA,1698798
570940,AA,1999749
629760,AA,2525343
42700,AAA,2320326
1888160,AA,1021783
1056640,AA,1811376
47890,AAA,1762091
241930,AA,3577179
513710,AA,3369991
476600,AAA,1401758
220200,AA,3616152
646570,AA,4904622
648350,AA,2051618
1868140,AA,3541089
304050,AA,9003567
613100,AA,3429355
1057090,AAA,3553657
728880,AA,4678991
767560,AA,1219470
1222140,AA,2405870
403640,AAA,2260588
1604030,AA,3688461
